FlyBase:FBgn0019631	Drer\shh
ZFIN:ZDB-GENE-030131-2878	iqgap2
ZFIN:ZDB-GENE-030131-2887	polr3b
ZFIN:ZDB-GENE-030131-29	arrb2a
ZFIN:ZDB-GENE-030131-2908	cyp26b1
ZFIN:ZDB-GENE-030131-2921	dlat
ZFIN:ZDB-GENE-030131-2935	igf2b
ZFIN:ZDB-GENE-030131-2974	mtor
ZFIN:ZDB-GENE-030131-3027	atp6v0a1a
ZFIN:ZDB-GENE-030131-3033	psd2
ZFIN:ZDB-GENE-030131-304	psmc6
ZFIN:ZDB-GENE-030131-3044	cax1
ZFIN:ZDB-GENE-030131-3055	usp19
ZFIN:ZDB-GENE-030131-3077	slc6a6b
ZFIN:ZDB-GENE-030131-3127	chsy1
ZFIN:ZDB-GENE-030131-3133	bhlhe40
ZFIN:ZDB-GENE-030131-3158	slc2a1a
ZFIN:ZDB-GENE-030131-3161	npc1
ZFIN:ZDB-GENE-030131-3165	plod1a
ZFIN:ZDB-GENE-030131-3178	cxxc5a
ZFIN:ZDB-GENE-030131-3187	ap1g1
ZFIN:ZDB-GENE-030131-3196	smc3
ZFIN:ZDB-GENE-030131-3197	zmat2
ZFIN:ZDB-GENE-030131-3205	ubiad1
ZFIN:ZDB-GENE-030131-3207	taf2
ZFIN:ZDB-GENE-030131-321	cdk9
ZFIN:ZDB-GENE-030131-3217	apol1
ZFIN:ZDB-GENE-030131-3222	tmem165
ZFIN:ZDB-GENE-030131-3232	hdac6
ZFIN:ZDB-GENE-030131-3238	pabpc1a
ZFIN:ZDB-GENE-030131-3264	fermt1
ZFIN:ZDB-GENE-030131-3275	cpsf3
ZFIN:ZDB-GENE-030131-3286	zfyve26
ZFIN:ZDB-GENE-030131-333	wdr82
ZFIN:ZDB-GENE-030131-341	hmgb1a
ZFIN:ZDB-GENE-030131-3445	dicer1
ZFIN:ZDB-GENE-030131-3497	mylk3
ZFIN:ZDB-GENE-030131-3527	e2f7
ZFIN:ZDB-GENE-030131-355	rprd1b
ZFIN:ZDB-GENE-030131-3587	swap70b
ZFIN:ZDB-GENE-030131-3595	pofut2
ZFIN:ZDB-GENE-030131-3606	macf1a
ZFIN:ZDB-GENE-030131-3625	las1l
ZFIN:ZDB-GENE-030131-3656	usp7
ZFIN:ZDB-GENE-030131-3665	grhl1
ZFIN:ZDB-GENE-030131-3671	adgrg1
ZFIN:ZDB-GENE-030131-3684	sgcd
ZFIN:ZDB-GENE-030131-371	wdr12
ZFIN:ZDB-GENE-030131-3727	sdcbp2
ZFIN:ZDB-GENE-030131-3756	gemin2
ZFIN:ZDB-GENE-030131-3767	tnika
ZFIN:ZDB-GENE-030131-3776	ptena
ZFIN:ZDB-GENE-030131-3777	tardbp
ZFIN:ZDB-GENE-030131-3782	ctr9
ZFIN:ZDB-GENE-030131-3809	src
ZFIN:ZDB-GENE-030131-3813	mks1
ZFIN:ZDB-GENE-030131-3827	eif3ea
ZFIN:ZDB-GENE-030131-3831	utp15
ZFIN:ZDB-GENE-030131-3904	inppl1a
ZFIN:ZDB-GENE-030131-3936	mepce
ZFIN:ZDB-GENE-030131-3980	rab18a
ZFIN:ZDB-GENE-030131-4013	olig2
ZFIN:ZDB-GENE-030131-4022	greb1l
ZFIN:ZDB-GENE-030131-4027	fbxo5
ZFIN:ZDB-GENE-030131-4041	pigp
ZFIN:ZDB-GENE-030131-4097	scrt2
ZFIN:ZDB-GENE-030131-4127	atp6v0cb
ZFIN:ZDB-GENE-030131-4174	mt2
ZFIN:ZDB-GENE-030131-4212	daam1b
ZFIN:ZDB-GENE-030131-4218	pcdh19
ZFIN:ZDB-GENE-030131-4265	sppl2
ZFIN:ZDB-GENE-030131-428	pcm1
ZFIN:ZDB-GENE-030131-4340	nkx2.9
ZFIN:ZDB-GENE-030131-4343	rpl27
ZFIN:ZDB-GENE-030131-4356	usp24
ZFIN:ZDB-GENE-030131-441	jam3b
ZFIN:ZDB-GENE-030131-4411	parvb
ZFIN:ZDB-GENE-030131-4426	nckap1
ZFIN:ZDB-GENE-030131-443	atp6v0b
ZFIN:ZDB-GENE-030131-4433	ppp4ca
ZFIN:ZDB-GENE-030131-4449	etfa
ZFIN:ZDB-GENE-030131-4486	anln
ZFIN:ZDB-GENE-030131-4487	sec24c
ZFIN:ZDB-GENE-030131-4505	dhx37
ZFIN:ZDB-GENE-030131-4581	nup153
ZFIN:ZDB-GENE-030131-4605	vegfab
ZFIN:ZDB-GENE-030131-4631	ttpa
ZFIN:ZDB-GENE-030131-464	wdr36
ZFIN:ZDB-GENE-030131-4663	plxna4
ZFIN:ZDB-GENE-030131-4694	rasa1a
